GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,1600000US0680000,0680000,United States - California - Torrance city,Torrance city,3.5,1.6
0100000US,,United States,1600000US0680238,0680238,United States - California - Tracy city,Tracy city,1.4,1.4
0100000US,,United States,1600000US0680812,0680812,United States - California - Turlock city,Turlock city,1.1,1.0
0100000US,,United States,1600000US0680854,0680854,United States - California - Tustin city,Tustin city,3.0,1.7
0100000US,,United States,1600000US0681204,0681204,United States - California - Union City city,Union City city,5.9,2.0
0100000US,,United States,1600000US0681344,0681344,United States - California - Upland city,Upland city,1.8,1.4
0100000US,,United States,1600000US0681554,0681554,United States - California - Vacaville city,Vacaville city,1.2,1.1
0100000US,,United States,1600000US0681666,0681666,United States - California - Vallejo city,Vallejo city,3.8,1.7
0100000US,,United States,1600000US0682590,0682590,United States - California - Victorville city,Victorville city,1.8,1.6
0100000US,,United States,1600000US0682954,0682954,United States - California - Visalia city,Visalia city,0.5,0.6
0100000US,,United States,1600000US0682996,0682996,United States - California - Vista city,Vista city,2.0,0.9
0100000US,,United States,1600000US0683346,0683346,United States - California - Walnut Creek city,Walnut Creek city,17.5,4.9
0100000US,,United States,1600000US0684200,0684200,United States - California - West Covina city,West Covina city,3.9,1.6
0100000US,,United States,1600000US0684550,0684550,United States - California - Westminster city,Westminster city,3.5,2.4
0100000US,,United States,1600000US0685292,0685292,United States - California - Whittier city,Whittier city,4.1,2.2
0100000US,,United States,1600000US0686832,0686832,United States - California - Yorba Linda city,Yorba Linda city,1.4,1.4
0100000US,,United States,1600000US0686972,0686972,United States - California - Yuba City city,Yuba City city,3.5,2.2
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,3.1,0.2
0100000US,,United States,1600000US0803455,0803455,United States - Colorado - Arvada city,Arvada city,3.2,1.6
0100000US,,United States,1600000US0804000,0804000,United States - Colorado - Aurora city,Aurora city,5.8,1.1
0100000US,,United States,1600000US0807850,0807850,United States - Colorado - Boulder city,Boulder city,8.2,1.8
0100000US,,United States,1600000US0812815,0812815,United States - Colorado - Centennial city,Centennial city,4.2,1.4
0100000US,,United States,1600000US0816000,0816000,United States - Colorado - Colorado Springs city,Colorado Springs city,0.6,0.3
0100000US,,United States,1600000US0820000,0820000,United States - Colorado - Denver city,Denver city,6.5,0.9
0100000US,,United States,1600000US0827425,0827425,United States - Colorado - Fort Collins city,Fort Collins city,1.4,0.6
0100000US,,United States,1600000US0832155,0832155,United States - Colorado - Greeley city,Greeley city,1.6,1.4
0100000US,,United States,1600000US0836410,0836410,United States - Colorado - Highlands Ranch CDP,Highlands Ranch CDP,2.3,1.3
0100000US,,United States,1600000US0843000,0843000,United States - Colorado - Lakewood city,Lakewood city,6.7,1.9
0100000US,,United States,1600000US0845970,0845970,United States - Colorado - Longmont city,Longmont city,5.1,2.3
0100000US,,United States,1600000US0846465,0846465,United States - Colorado - Loveland city,Loveland city,0.0,0.5
0100000US,,United States,1600000US0862000,0862000,United States - Colorado - Pueblo city,Pueblo city,1.1,0.8
0100000US,,United States,1600000US0877290,0877290,United States - Colorado - Thornton city,Thornton city,2.0,1.0
